T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,Total Time Taken
0:14,0:12,0:11,0:09,0:11,0:12,0:11,0:10,0:10,0:11,0:12,0:12,0:10,0:14,0:12,2:51
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0:21,0:18,0:20,0:47,0:15,0:16,0:13,0:13,0:14,0:12,0:12,0:12,0:12,0:15,0:11,5:51
mm:ss,,,,,,,,,,,,,,,
mm:ss,,,,,,,,,,,,,,,
